nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Finding/Training A Service Dog,92,"1,030",3500,0.294,0,0,Animals," July 2, 2016",7,7/2/16,9/25/16,85,43,2,LINCOLN,NE,476000,0,0,,
Puff Needs Emergency Surgery ,93,"1,621",4000,0.405,0,0,Animals," September 21, 2016",9,9/21/16,9/25/16,4,46,4,OLNEY,MD,26000,0,0,,
Please Help Us Save Buddy,94,655,2000,0.328,0,0,Animals," July 12, 2016",7,7/12/16,9/25/16,75,20,2,WARWICK,RI,337000,5,0,5,
Bruno Medical Fund,95,"1,595",2000,0.798,0,0,Animals," September 19, 2016",9,9/19/16,9/25/16,6,45,5,LOS ANGELES,CA,93000,0,1,,1
Help me fight for my dogs,96,165,100,1.65,1,1,Animals," July 8, 2016",7,7/8/16,9/25/16,79,7,2,QUARRYVILLE,PA,90000,0,0,,
Hoshi's Surgery Expenses,97,635,750,0.847,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,9,2,HOLLYWOOD,FL,19000,0,5,,5
"Help us, so we can help them!",98,"18,290",43000,0.425,0,0,Animals," February 21, 2016",2,2/21/16,9/25/16,217,335,7,BLAIRSTOWN,NJ,270000,5,3,5,3
Save family dog and bring her home,99,425,3000,0.142,0,0,Animals," September 15, 2016",9,9/15/16,9/25/16,10,16,9,CHELMSFORD,MA,66000,0,3,,3
Help Publish A Book I Am Writing:,100,490,5000,0.098,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,8,18,BATON ROUGE,LA,197000,0,3,,3
Lexi Chooses Life but Needs Help,101,"2,550",5500,0.464,0,0,Animals," September 1, 2016",9,9/1/16,9/25/16,24,52,24,GREENVILLE,SC,301000,3,8,3,8
Help Rescue Captain Ron ,102,"5,905",10000,0.591,0,0,Animals," December 11, 2015",12,12/11/15,9/25/16,289,79,9,FORT LAUDERDALE,FL,385000,1,3,1,3
Eve's Surgery,103,755,1000,0.755,0,0,Animals," August 8, 2016",8,8/8/16,9/25/16,48,26,1,JERSEY CITY,NJ,84000,0,2,,2
"Lucy's (""Lulu"") cruciate surgeries",104,"2,355",7500,0.314,0,0,Animals," August 4, 2016",8,8/4/16,9/25/16,52,37,1,DALLAS,OR,121000,0,4,,4
Loki needs Surgery :(,105,"1,480",2500,0.592,0,0,Animals," September 13, 2016",9,9/13/16,9/25/16,12,26,11,RICHMOND,VA,120000,0,2,,2
Equine Therapy Rescue Horses; HELP!,106,951,5000,0.19,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,6,1,OAK VIEW,CA,76000,0,3,,3
The Penny Fund,107,"3,105",6500,0.478,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,96,19,ORLANDO,FL,111000,0,5,,5
Bring Chase Home,108,210,2000,0.105,0,0,Animals," September 5, 2016",9,9/5/16,9/25/16,20,9,19,LEXINGTON,KY,253000,0,0,,
Adopt a Boxer Rescue - Chase,109,"1,625",2500,0.65,0,0,Animals," September 20, 2016",9,9/20/16,9/25/16,5,21,5,NEW YORK,NY,32000,1,1,1,1
Help Us Pay Duke's Medical Bills,110,270,5000,0.054,0,0,Animals," September 20, 2016",9,9/20/16,9/25/16,5,8,4,CHICAGO,IL,16000,0,2,,2
Help for Ziggy,111,"1,050",1500,0.7,0,0,Animals," September 21, 2016",9,9/21/16,9/25/16,4,8,3,LANCASTER,SC,77000,0,0,,
Justice For RESCUER Katherine Fraze,112,880,5000,0.176,0,0,Animals," August 20, 2016",8,8/20/16,9/25/16,36,16,1,MOUNT SAINT FRANCIS,IN,316000,4,3,4,3
Sparky medical bills!  Please HELP!,113,905,20000,0.045,0,0,Animals," July 23, 2016",7,7/23/16,9/25/16,64,30,2,EAST MEADOW,NY,266000,2,4,2,4
Bella's Cancer Fund ,114,"1,375",3500,0.393,0,0,Animals," July 22, 2016",7,7/22/16,9/25/16,65,22,2,BOLIVIA,NC,302000,0,2,,2
Rems Medical Funds ,115,"1,800",4000,0.45,0,0,Animals," April 5, 2016",4,4/5/16,9/25/16,173,35,5,CHARLOTTE,NC,255000,1,7,1,7
Friends of SCAC Rescue Fund,116,600,5000,0.12,0,0,Animals," April 23, 2016",4,4/23/16,9/25/16,155,23,5,SPRINGFIELD,IL,252000,0,6,,6
Oda's Surgery,117,"4,300",13000,0.331,0,0,Animals," January 8, 2016",1,1/8/16,9/25/16,261,84,8,PACIFICA,CA,300000,0,2,,2
Our Boxer Babies Need Your Help,118,280,5000,0.056,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,6,1,KINGSPORT,TN,29000,0,1,,1
STARVING MAMA +8 BABIES,119,"1,060",1000,1.06,1,0,Animals," July 23, 2016",7,7/23/16,9/25/16,64,34,2,FORT LAUDERDALE,FL,298000,1,2,1,2
Apollo & Casper's Vet Bills,120,"1,435",5500,0.261,0,0,Animals," January 23, 2016",1,1/23/16,9/25/16,246,45,8,MERIDIAN,ID,292000,1,4,1,4
Please help with Rooks vet bills,121,110,2000,0.055,0,0,Animals," August 7, 2016",8,8/7/16,9/25/16,49,5,1,SPOKANE,WA,75000,0,4,,4
Raider's Canine Cancer Surgery,122,320,5000,0.064,0,0,Animals," September 19, 2016",9,9/19/16,9/25/16,6,6,6,WANTAGH,NY,20000,0,0,,
Lina's Lymphoma Fund,123,"1,660",3050,0.544,0,0,Animals," August 28, 2016",8,8/28/16,9/25/16,28,43,28,West Hartford,CT,231000,1,10,1,10
That CanAm Dream Of Mine,124,700,992,0.706,0,0,Animals," August 21, 2016",8,8/21/16,9/25/16,35,18,1,LANDIS,NC,88000,1,4,1,4
Help us save Rowdy,125,330,915,0.361,0,0,Animals," May 11, 2016",5,5/11/16,9/25/16,137,17,4,MUSKEGON,MI,154000,3,3,3,3
Sissy's Surgery Fund,126,"2,295",5000,0.459,0,0,Animals," April 25, 2016",4,4/25/16,9/25/16,153,60,5,TUCSON,AZ,272000,3,2,3,2
Marley & Me Need Your Help,127,"1,025",3500,0.293,0,0,Animals," September 20, 2016",9,9/20/16,9/25/16,5,15,4,RALEIGH,NC,41000,1,1,1,1
HELP SAVE TANK,128,"1,050",1000,1.05,1,0,Animals," March 8, 2016",3,3/8/16,9/25/16,201,26,6,FORT LAUDERDALE,FL,245000,1,3,1,3
"Veterinary bills for ""Callejera"" ",129,760,500,1.52,1,1,Animals," May 31, 2015",5,5/31/15,9/25/16,483,13,16,ASHEVILLE,NC,146000,0,6,,6
Help a hurting rescue,130,545,3000,0.182,0,0,Animals," September 13, 2016",9,9/13/16,9/25/16,12,18,11,HIGHGATE CENTER,VT,184000,0,11,,11
Lucy Lu's Fight to Recovery ,131,915,4000,0.229,0,0,Animals," July 29, 2016",7,7/29/16,9/25/16,58,22,1,DOVER,DE,233000,0,0,,
Monticello Paws for Parks,132,"9,212",20000,0.461,0,0,Animals," April 13, 2015",4,4/13/15,9/25/16,531,45,17,MONTICELLO,MN,188000,1,3,1,3
Bela's Lymphoma Medical Fund,133,"2,020",1500,1.347,1,1,Animals," September 13, 2016",9,9/13/16,9/25/16,12,61,12,NEW HOPE,PA,96000,1,0,1,
Bailey's Emergency Medical Care ,134,400,400,1,1,0,Animals," July 11, 2016",7,7/11/16,9/25/16,76,12,2,BRONX,NY,232000,0,8,,8
Archimedes Needs Help Brain Surgery,135,"2,085",10000,0.209,0,0,Animals," September 4, 2016",9,9/4/16,9/25/16,21,27,20,ANTIOCH,CA,183000,0,3,,3
Help W/Buster's Care,136,"1,385",1000000,0.001,0,0,Animals," June 6, 2016",6,6/6/16,9/25/16,111,31,3,SHERMANS DALE,PA,227000,0,11,,11
Save toby tribble from tumor,137,360,820,0.439,0,0,Animals," September 10, 2016",9,9/10/16,9/25/16,15,6,14,35325,US,182000,0,7,,7
PLEASE HELP MY BABY,138,150,150,1,1,0,Animals," July 17, 2016",7,7/17/16,9/25/16,70,7,2,FLINT,MI,235000,4,4,4,4
PTSD Therapy dog,139,125,1500,0.083,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,4,1,DENVER,CO,58000,0,0,,
German Shepherd Live Stream Fund,140,"1,940",3000,0.647,0,0,Animals," September 2, 2016",9,9/2/16,9/25/16,23,80,22,ROSWELL,GA,128000,0,0,,
Saving Beauty and her Babies,141,"1,110",2000,0.555,0,0,Animals," December 7, 2015",12,12/7/15,9/25/16,293,25,9,HOLLYWOOD,FL,214000,0,1,,1
Hope for Harlee!,142,"1,335",4600,0.29,0,0,Animals," September 14, 2016",9,9/14/16,9/25/16,11,28,10,WINTHROP,MA,168000,0,8,,8
Big Bend Wildlife Sanctuary Inc.,143,750,10000,0.075,0,0,Animals," August 17, 2015",8,8/17/15,9/25/16,405,15,13,ENTERPRISE,AL,211000,0,4,,4
SAVING BROKEN KITTEN,144,580,750,0.773,0,0,Animals," July 2, 2016",7,7/2/16,9/25/16,85,27,2,FORT LAUDERDALE,FL,211000,2,6,2,6
Bring Reilly Home,145,"1,385",1350,1.026,1,0,Animals," May 12, 2016",5,5/12/16,9/25/16,136,28,4,TONAWANDA,NY,209000,0,5,,5
Getting Ganesh Back Together,146,"4,000",2000,2,1,1,Animals," November 9, 2015",11,11/9/15,9/25/16,321,41,10,BROOKLYN,NY,208000,0,8,,8
Quinn's Battle,147,375,7000,0.054,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,5,2,OCALA,FL,35000,2,1,2,1
Bucks for Puck! Help fix his heart.,148,750,5000,0.15,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,10,19,BUFFALO,NY,69000,0,4,,4
Medical Expenses for Butters,149,145,7000,0.021,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,4,19,SAN ANTONIO,TX,52000,0,1,,1
CANE CORSO EMERGENCY,150,"1,160",1000,1.16,1,1,Animals," June 23, 2016",6,6/23/16,9/25/16,94,34,3,FORT LAUDERDALE,FL,193000,2,4,2,4
Roller Barbuto Sailing - Rio 2016,151,600,19300,0.031,0,0,Rio Athletes," December 16, 2015",12,12/16/15,9/25/16,284,6,9,ST JOHN,VI,188000,0,0,,
